년도,개나리,진달래,벚꽃
1973,0,23,0
1974,10,7,7
1975,11,-7,7
1976,0,11,3
1977,-5,5,-1
1978,-2,13,4
1979,-8,-7,-4
1980,2,4,3
1981,3,9,3
1982,-4,2,0
1983,2,2,0
1984,9,13,11
1985,4,6,6
1986,2,7,7
1987,8,8,8
1988,7,4,5
1989,-7,-7,-2
1990,-9,-5,-2
1991,7,10,3
1992,-8,-8,-6
1993,1,3,7
1994,6,3,0
1995,-4,0,5
1996,8,8,12
1997,0,-9,0
1998,-7,-19,-5
1999,3,2,0
2000,3,6,2
2001,6,12,2
2002,-7,-8,-6
2003,0,1,-3
2004,-3,-1,-3
2005,9,10,4
2006,0,4,2
2007,-5,-8,-5
2008,-5,-5,-2
2009,-8,-7,-2
2010,-1,5,4
2011,8,9,5
2012,7,11,7
2013,6,8,7
2014,-3,-5,-11
2015,-3,-3,-5
2016,-2,-2,-6
2017,2,1,-2
2018,-1,-1,-6
2019,-7,-7,-5
2020,-6,-17,-12
2021,-9,-12,-15
2022,2,-2,-4
2023,-6,-9,-14
2024,-4,-13,-7
